Date,Start,Length,Elevation Gain,Heading,Elevation Continuity
2020-05-10,Frohburg,76.71,1367,south east,68.70297764575689
2020-06-09,Fork,72.29,1012,south,87.73363014478713
2020-06-11,Frohburg,74.85,1109,south east,61.824376148353956
2020-06-14,Frohburg,116.02,1750,east,68.65974263688965
2020-06-16,Fork,76.18,1328,south,72.78221560689546
2020-06-20,Frohburg,117.15,2105,south east,58.08271986053521
2020-06-30,Frohburg,78.18,1362,south east,69.23835444248724
2020-07-07,Frohburg,75.73,1202,east,68.02397778079506
2020-07-14,Frohburg,80.09,1059,east,79.55361080336728
2020-07-15,Frohburg,40.16,494,north east,88.51201706246157
2020-07-16,Frohburg,41.52,559,north east,82.0650919112487
2020-07-18,Frohburg,109.19,1651,south east,71.81280730494687
2020-07-21,Triemli,66.03,1236,west,50.72860737039953
2020-07-23,Frohburg,67.05,782,north west,30.119379175772046
2020-07-25,Fork,123.07,2265,south,57.73611158064899
2020-07-30,Frohburg,69.69,1061,east,73.6551557895349
2020-08-04,Frohburg,46.59,839,south east,77.14831379256661
2020-08-06,Frohburg,56.92,851,west,44.32147055016453
2020-08-13,Frohburg,72.41,999,north,64.27610894590931
2020-08-20,Frohburg,73.5,784,south east,51.57436828962297
2020-08-27,Frohburg,67.83,686,north,38.48955974232579
2020-09-01,Frohburg,51.64,618,north west,54.46598745458871
2020-09-12,Fork,117.96,2340,south,65.97587857886525
2020-10-11,Frohburg,104.11,2014,south,63.99234300486566
2020-10-18,Oil,128.72,1919,north west,68.89334970977974
2021-03-06,Frohburg,89.08,1282,east,69.80461842617264
2021-04-17,Triemli,128.28,2299,west,63.327149533977554
2021-04-29,Frohburg,58.14,787,north east,61.18600029589095
2021-05-01,Frohburg,97.44,946,north,43.74290631761981
2021-05-03,Fork,74.24,960,south,71.29394682122384
2021-05-13,Fork,55.99,918,south,72.24346922728813
2021-05-15,Frohburg,136.42,1617,east,62.080099032068865
2021-05-18,Frohburg,61.34,882,south east,70.14762648802112
2021-05-19,Triemli,66.48,828,west,73.8224360068027
2021-05-20,Triemli,53.15,804,west,82.22891501404857
2021-05-22,Triemli,154.77,1684,south west,40.92602492571879
2021-05-24,Frohburg,58.4,878,north,75.45131357641965
2021-05-25,Frohburg,78.68,1391,east,88.78896976732146
2021-05-27,Frohburg,71.41,1029,north west,37.42015645350043
2021-06-01,Frohburg,64.46,877,east,80.55530531879383
2021-06-03,Frohburg,68.83,660,north,48.93758294924133
2021-06-04,Frohburg,36.98,337,east,78.4445052125243
2021-06-08,Frohburg,62.4,746,north,41.450901278319066
2021-06-10,Triemli,68.77,1254,west,46.4664326526092
2021-06-14,Frohburg,62.96,787,east,91.307760221191
2021-06-15,Fork,68.23,1627,south,51.85167458982158
2021-06-19,Fork,101.52,1810,south,93.85530452639428
2021-06-22,Oil,61.95,847,north,50.94929079688172
2021-06-29,Triemli,57.66,885,south,68.52871432358319
2021-07-01,Frohburg,56.73,746,north east,75.05320073970772
2021-07-10,Oil,144.06,1851,north,61.32813841654739
2021-07-17,Frohburg,98.67,1732,east,83.27231916951084
2021-07-22,Fork,51.79,878,south west,51.112316514944766
2021-07-24,Triemli,128.93,2180,south,69.12755983618642
2021-07-25,Frohburg,55.22,918,north east,84.42716820493749
2021-07-27,Triemli,67.55,1059,north west,59.13217946423272
2021-07-29,Frohburg,45.47,938,south east,54.57512169234559
2021-07-31,Fork,101.15,1797,south,43.2894769890596
2021-08-05,Frohburg,62.8,1018,north east,84.50612402315774
2021-08-07,Frohburg,114.84,2132,south east,75.93766577414425
2021-08-10,Frohburg,72.99,1011,north west,45.27823734931858
2021-08-12,Frohburg,59.29,1173,south east,71.54631019904015
2021-08-14,Fork,141.26,2665,south,86.04213351985453
2021-08-17,Fork,74.06,1157,south east,71.91433835847587
2021-08-24,Frohburg,75.99,835,north west,52.355752961343214
2021-08-26,Frohburg,68.8,1097,north,48.242105112014215
2021-08-31,Frohburg,70.59,982,south east,60.11273974110324
2021-09-02,Triemli,48.56,964,west,55.11330538906298
2022-02-19,Oil,93.21,1344,north west,42.97967925299949
2022-02-27,Triemli,81.45,1517,south,61.68358089604097
2022-03-05,Triemli,95.6,998,south west,46.8512672053929
2022-03-13,Oil,91.39,1193,north east,39.641640892838666
2022-03-28,Frohburg,143.94,2310,south east,63.532415248851116
2022-04-05,Fork,45.43,991,south,85.17820959939631
2022-04-07,Frohburg,49.02,676,south east,104.81968932954854
2022-04-12,Fork,70.07,1178,south,62.80146469950622
2022-05-03,Fork,74.56,925,south,62.28440260593964
2022-05-14,Triemli,91.75,1740,south,69.23984852364981
2022-05-19,Frohburg,70.1,828,north west,31.152788148900896
2022-05-21,Oil,121.69,1487,north,35.226315724063824
2022-06-07,Frohburg,40.21,705,south east,37.304813844347244
2022-06-18,Frohburg,128.56,1528,north east,54.256840955266455
2022-06-25,Frohburg,180.54,2848,east,43.14569987151059
2022-07-02,Triemli,105.46,1837,south east,75.15182968179752
2022-07-05,Triemli,58.86,953,south west,77.0176091506491
2022-07-09,Triemli,133.85,1923,south east,58.63890992320651
2022-07-13,Fork,57.65,1149,south,91.86504731446284
2022-07-14,Fork,98.76,1726,south,76.92655559683038
2022-07-19,Frohburg,54.92,940,south east,78.29541708231241
2022-07-20,Frohburg,43.13,397,north,52.0883754411619
2022-07-21,Fork,74.93,1696,south west,72.94492224731714
2022-07-23,Oil,115.02,1605,north,38.347718566085554
2022-07-29,Frohburg,59.77,1075,south east,49.419424151126044
2022-08-09,Frohburg,67.72,1230,west,67.90999374562472
2022-08-11,Fork,66.68,1138,south,67.175103078669
2022-08-16,Frohburg,73.19,1281,south east,45.92505855589566
2022-08-23,Fork,58.87,1088,south,78.6161935392589
2022-09-06,Frohburg,66.92,955,south east,77.49895744264565
2022-09-07,Fork,49.84,578,south,67.33198343188334
2022-10-23,Triemli,107.15,1558,south west,66.94210179071273
